title,description,date,startTime,endTime,location,track,speakers,capacity,duration,category
Creating a Sense of Community with Intention,A masterclass by Laurie Frank,2026-01-24,10:00,17:00,Bengaluru,Masterclass,Laurie Frank,80,420,Conference
Remarkable Program Design,A masterclass by Mark Collard,2026-01-24,10:00,17:00,Bengaluru,Masterclass,Mark Collard,80,420,Conference
Thinking Experientially,A masterclass by Laurie Frank,2026-01-25,10:00,17:00,Bengaluru,Masterclass,Laurie Frank,80,420,Conference
Critical Facilitation Skills,A masterclass by Mark Collard,2026-01-25,10:00,17:00,Bengaluru,Masterclass,Mark Collard,80,420,Conference
Creating a Sense of Community with Intention,A masterclass by Laurie Frank,2026-01-29,10:00,17:00,Pune,Masterclass,Laurie Frank,80,420,Conference
Remarkable Program Design,A masterclass by Mark Collard,2026-01-29,10:00,17:00,Pune,Masterclass,Mark Collard,80,420,Conference
Thinking Experientially,A masterclass by Laurie Frank,2026-01-30,10:00,17:00,Pune,Masterclass,Laurie Frank,80,420,Conference
Critical Facilitation Skills,A masterclass by Mark Collard,2026-01-30,10:00,17:00,Pune,Masterclass,Mark Collard,80,420,Conference
MISSION CRITICAL: An Intent-Based Leadership Simulation,Interactive leadership simulation focusing on intent-based leadership and decision-making under pressure.,2026-01-31,10:30,13:15,Pune,Experience Based T&D,"Arvind Khinvesra, Ameena Bukhari",80,165,Conference
Sport as a Medium for Social Justice,"Can play be a pathway to justice? This immersive session invites participants to explore what justice means to them and how the energy and spirit of sport can inspire equity, inclusion, and collective empowerment.",2026-01-31,10:30,13:15,Pune,Inclusive Practices,"Shubhomoy Bhaduri, Shikha Bohra",80,165,Conference
A workshop with Sarabjit Singh Wallia,Experience-based workshop session led by Sarabjit Singh Wallia.,2026-01-31,10:30,12:00,Pune,Experience Based T&D,Sarabjit Singh Wallia,80,90,Conference
"Designing Experiences That Stick: Tools for Connection, Reflection, and Growth","Practical tools to design engaging experiences that deepen connection, reflection, and growth for learners.",2026-01-31,10:30,12:00,Pune,Experience Based T&D,Sakshi Rawat,80,90,Conference
A social emotional learning workshop delivered through play!,"This workshop is about exploring the opportunities of SEL in any story. Take any classroom subject like history or geography and add more colour to it with reflective SEL questions. Learn how to come up with simple questions that fall in the categories of the 5 pillars of SEL: self-awareness, self-management, relationship management, responsible decision-making, and social awareness.",2026-01-31,14:15,17:30,Pune,K-12,Chetan Vohra,80,195,Conference
